cond;etac;lg;catpri18;COUNT;PERCENT;DURM;MX;MN;SD
1;2;05;3.6.1;2;0.025113008538422903;00:35:00.004000;01:00:00.003000;00:09:59.996000;00:35:21.319000
1;2;05;5.1.1;2;0.025113008538422903;00:15:00.003000;00:20:00.001000;00:09:59.996000;00:07:04.267000
1;2;05;7.2.9;2;0.025113008538422903;00:09:59.996000;00:09:59.996000;00:09:59.996000;00:00:00
1;2;05;9.9.5;2;0.025113008538422903;00:29:59.997000;00:29:59.997000;00:29:59.997000;00:00:00
1;2;06;3.8.4;151;85.31073446327683;00:14:14.306000;01:50:00.001000;00:09:59.996000;00:12:55.950000
1;2;06;2.1.1;15;8.474576271186441;02:25:19.998000;06:00:00;00:09:59.996000;01:31:38.470000
1;2;06;4.2.4;3;1.694915254237288;00:16:40.002000;00:29:59.997000;00:09:59.996000;00:11:32.824000
1;2;06;5.1.9;3;1.694915254237288;00:13:20.004000;00:20:00.001000;00:09:59.996000;00:05:46.412000
1;2;06;4.2.3;2;1.1299435028248588;00:24:59.999000;00:29:59.997000;00:20:00.001000;00:07:04.267000
1;2;07;5.2.4;4;44.44444444444444;00:27:29.998000;00:49:59.998000;00:09:59.996000;00:20:36.928000
1;2;07;2.1.2;2;22.22222222222222;01:00:00.003000;01:00:00.003000;01:00:00.003000;00:00:00
1;2;07;2.2.1;2;22.22222222222222;02:19:59.998000;03:00:00;01:39:59.996000;00:56:34.112000
1;2;08;2.2.1;10;83.33333333333334;01:38:00.004000;03:00:00;00:09:59.996000;01:07:27.719000
1;2;09;0.2.1;3027;63.154600459002715;00:48:42.299000;06:20:00.001000;00:09:59.996000;00:44:13.707000
1;2;09;5.1.9;1194;24.91132902148967;00:58:09.947000;05:10:00.002000;00:09:59.996000;00:53:48.379000
1;2;09;1.1.1;147;3.066972668474859;00:14:41.634000;00:40:00.002000;00:09:59.996000;00:07:36.762000
1;2;09;3.6.1;84;1.752555810557062;00:15:21.430000;00:40:00.002000;00:09:59.996000;00:07:58.976000
1;2;09;8.1.1;55;1.147506780721886;00:27:05.452000;03:00:00;00:09:59.996000;00:28:11.833000
1;2;09;7.3.2;46;0.9597329438764864;01:03:15.656000;03:00:00;00:09:59.996000;00:37:14.477000
1;2;09;5.1.3;43;0.89714166492802;01:07:26.509000;06:20:00.001000;00:09:59.996000;01:22:03.573000
1;2;09;8.2.1;31;0.646776549134154;01:07:44.515000;03:29:59.997000;00:09:59.996000;00:44:50.919000
1;2;09;5.3.1;24;0.5007302315877321;00:15:50.003000;00:49:59.998000;00:09:59.996000;00:11:00.036000
1;2;09;5.1.4;21;0.4381389526392655;00:15:42.857000;00:40:00.002000;00:09:59.996000;00:08:06.389000
1;2;09;5.1.1;20;0.4172751929897767;00:13:59.998000;00:49:59.998000;00:09:59.996000;00:09:24.192000
1;2;09;3.8.1;18;0.37554767369079906;00:24:26.666000;01:09:59.999000;00:09:59.996000;00:18:32.495000
1;2;09;0.3.1;16;0.33382015439182133;00:11:52.498000;00:29:59.997000;00:09:59.996000;00:05:26.341000
1;2;09;3.8.3;15;0.31295639474233256;00:42:00.003000;01:30:00;00:09:59.996000;00:32:33.461000
1;2;09;8.3.1;10;0.20863759649488836;00:58:59.998000;02:19:59.998000;00:09:59.996000;00:57:26.159000
1;2;09;5.2.2;8;0.16691007719591067;01:37:29.997000;03:00:00;00:09:59.996000;00:53:23.124000
1;2;09;7.1.1;7;0.14604631754642186;00:41:25.711000;01:00:00.003000;00:09:59.996000;00:17:43.688000
1;2;09;3.8.4;5;0.10431879824744418;00:27:59.996000;01:00:00.003000;00:09:59.996000;00:20:29.636000
1;2;09;5.1.5;4;0.08345503859795535;00:09:59.996000;00:09:59.996000;00:09:59.996000;00:00:00
